,name,food type,establishment,family-friendly,price range,customer rating,address,phone number,menu,open hours,distance,dating
,Palio's Pizza Cafe,pizza,restaurant,yes,moderate,high,"1469 W Campbell Rd, Richardson, TX 75080",9722344002,https://www.paliospizzacaferichardson.com/order/,"Sun-Thu 11:00-21:00, Fri-Sat 11:00-22:00",near,yes
,Campisi's Restaurant,Italian,restaurant,yes,moderate,average,"7632 Campbell Rd #315, Dallas, TX 75248",9729312267,http://www.campisis.us/menu/,Sun-Sat 11:00-21:00,near,no
,Golden Star Donuts,donut,shop,no,cheap,high,"7632 Campbell Rd #318, Dallas, TX 75248",9722488075,http://golden-star-donuts.poi.place/,"Mon-Fri 5:00-11:00, Sat-Sun 5:00-12:30",near,no
,Angel Chicken Kitchen,chicken,restaurant,yes,cheap,high,"7632 Campbell Rd Ste 314, Dallas, TX 75248",9727070977,https://order.toasttab.com/online/angel-chicken-kitchen-7632-campbell-rd-314,Sun-Sat 11:00-21:00,near,yes
,Cindi's NY Deli & Restaurant,American,restaurant,yes,cheap,high,"7522 Campbell Rd #117, Dallas, TX 75248",9722480608,http://cindisnydeli.com/wp-content/uploads/menus/menu-cindis-full.pdf,"Sat-Mon 7:00-15:00, Tue-Fri 7:00-20:00",near,no
,Smoothie Factory,smoothie,shop,no,cheap,low,"7522 Campbell Rd #106, Dallas, TX 75248",no,https://order.smoothiefactory.com/menu/pavillion-north/,"Sun 11:00-18:00, Mon-Fri 9:00-19:00, Sat 10:00-18:00",near,no
,Hoki Poki,Hawaiian,restaurant,no,cheap,high,"581 W Campbell Rd #105, Richardson, TX 75080",9725899204,https://www.orderhokipoki.com/,Mon-Sat 11:00-21:00,near,no
,Fuzzy's Taco Shop,Tex-Mex,restaurant,yes,cheap,average,"561 W Campbell Rd, Richardson, TX 75080",9729078226,https://fuzzystacoshop.olo.com/menu/richardson?y_source=1_MjAyMTg0NjQtNzE1LWxvY2F0aW9uLm1lbnVfdXJs,Sun-Sat 7:00-22:00,near,yes
,Mezza Cafe,Mediterranean,restaurant,no,cheap,average,"581 W Campbell Rd, Richardson, TX 75080",9722312233,http://mezzacafemediterranean.com/full-menu/,"Mon-Thu 15:00-23:00, Fri-Sat 15:00-0:00",near,no
,Cairo Hookah Lounge,hookah,bar,no,moderate,average,"113, 3356, 581 W Campbell Rd, Richardson, TX 75080",(972) 238-5100,http://www.cairohookahlounge.com/,Sun-Sat 15:30-2:00,near,yes
,Campbell Donuts,donut,shop,no,cheap,high,"581 W Campbell Rd, Richardson, TX 75080",(214) 463-1605,https://www.instagram.com/campbelldonuts/,"Mon-Fri 5:00-12:00, Sat-Sun 5:00-13:00",near,no
,Ding Tea Richardson,bubble tea,shop,no,cheap,high,"581 W Campbell Rd, Richardson, TX 75080",(972) 707-7275,http://places.singleplatform.com/ding-tea-richardson/menu?ref=google,Sun-Sat 11:00-22:00,near,yes
,Olive Oil's Pizzeria,pizza,restaurant,yes,moderate,high,"581 W Campbell Rd #129, Richardson, TX 75080",9724809555,https://oliveoilspizzeria-richardson.brygid.online/zgrid/proc/site/mobile/sitep.jsp,"Sun-Thu 11:00-23:00, Fri-Sat 11:00-24:00",near,no
,Pizza Hut,pizza,shop,no,cheap,low,"515 W Campbell Rd #113, Richardson, TX 75080",9729072900,https://www.pizzahut.com/link.php?menu=pizza&utm_medium=organic&utm_source=local&utm_campaign=googlelistings&utm_content=menu&utm_term=288409,"Sun-Thu 10:00-23:00, Fri-Sat 10:00-0:00",near,no
,Jack in the Box,American,fast food,no,cheap,average,"2230 N Coit Rd, Richardson, TX 75080",9729072206,https://locations.jackinthebox.com/us/tx/richardson/2230-n-coit-rd?utm_source=google&utm_medium=local&utm_campaign=google-local,Sun-Sat 0:00-24:00,near,no
,Woody B's BBQ,barbecue,restaurant,yes,moderate,high,"1980 Nantucket Dr, Richardson, TX 75080",(214) 295-2892,http://places.singleplatform.com/woodys-bbq-26/menu?ref=google,"Tue-Fri 11:00-19:00, Sat 10:00-18:00",near,no
,The Fifth: Fireside Patio and Bar,American,restaurant,yes,moderate,high,"2701 Custer Pkwy Ste 700, Richardson, TX 75080",2147580777,https://www.thefifthtx.com/all-menus/,"Sun 10:00-21:00, Mon 16:00-21:00, Tue-Thu 11:00-21:00, Fri-Sat 11:00-22:00",near,yes
,Bunkies Donut,donut,shop,no,cheap,high,"504 W Lookout Dr, Richardson, TX 75080",9726906852,no,Sun-Sat 6:00-24:00,near,no
,Dos Arroyos Comida Casera,Mexican,restaurant,yes,moderate,high,"2701 Custer Pkwy, Richardson, TX 75080",9722318667,https://www.dosarroyoscomidacasera.com/menus,"Sun-Thu 11:00-21:00, Fri-Sat 11:00-22:00",near,yes
,Feng Cha,bubble tea,shop,yes,cheap,high,"2701 Custer Pkwy, Richardson, TX 75080",9726850202,https://orders.hazlnut.com/menu/b/Feng%20Cha%20Teahouse/n/370/p/128/g/1545,"Sun-Thu 11:30-21:30, Fri-Sat 11:30-22:30",near,yes
,Shady's Burger & Brewhaha,burger,restaurant,yes,moderate,high,"2701 Custer Pkwy #915, Richardson, TX 75080",2144842689,https://shadysburgers.com/menu/,"Sun-Wed 11:00-21:00, Thu-Sat 11:00-22:00",near,yes
,Eiland Coffee,coffee,shop,yes,cheap,high,"2701 Custer Pkwy Suite 917, Richardson, TX 75080",4693720818,http://www.eilandcoffee.com/,"Sun 8:00-14:00, Mon-Fri 7:00-20:00, Sat 8:00-20:00",near,no
,Sky Rocket Burger,burger,restaurant,yes,cheap,high,"7877 Frankford Rd #101B, Dallas, TX 75252",4698637090,https://www.skyrocketburger.com/gallery,Tue-Sat 11:00-21:00,near,no
,Shuck N Jive,Cajun,restaurant,yes,cheap,average,"401 W President George Bush Hwy #126, Richardson, TX 75080",(469) 665-8798,https://zingmyorder.com/restaurants/shuck-n-jive-401-president-george-bush-126,Sun-Sat 11:00-2:00,more than 3 miles,no
,Rodeo Goat,hamburger,restaurant,yes,moderate,high,"641 Powell Ln, Plano, TX 75075",(469) 409-4628,http://rodeogoat.com/plano/,"Sun-Thu 11:00-22, Fri-Sat 11:00-23:00",more than 3 miles,no
,Great Wall Super Buffet,Chinese,buffet,yes,cheap,average,"901 W Plano Pkwy, Plano, TX 75075",(972) 578-8887,no,"Mon-Fri 11:00-21:00, Sat-Sun 11:00-21:30",more than 3 miles,no
,Olive Garden Italian Restaurant,Italian,restaurant,yes,moderate,high,"700 N Central Expy, Plano, TX 75074",(972) 578-8576,https://www.olivegarden.com/menu/classic-entrees?setRestaurant=1284&cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:plano-tx-1284_pl:menu_rd:1214,Sun-Sat 11:00-22:00,more than 3 miles,yes
,El Fenix,Mexican,restaurant,yes,moderate,average,"810 N Central Expy #8, Plano, TX 75074",(972) 578-1020,https://www.elfenix.com/location/el-fenix-plano/,Sun-Sat 11:00-22:00,more than 3 miles,yes
,Black Rifle Coffee Company,coffee,shop,no,cheap,high,"901 N Central Expy, Plano, TX 75075",(210) 890-5402,https://www.blackriflecoffee.com/pages/plano-retail,Sun-Sat 5:00-20:00,more than 3 miles,yes
,Lima Taverna,Peruvian,restaurant,yes,moderate,average,"621 W Plano Pkwy #247, Plano, TX 75075",(469) 969-2034,https://www.limatavernatogo.com/,"Tue-Sat 11:00-22:00, Sun 11:00-21:00",more than 3 miles,yes
,McAlister's Deli,sandwich,shop,yes,moderate,high,"701 N Central Expy, Plano, TX 75075",(469) 467-6400,https://www.mcalistersdeli.com/menu?utm_source=google&utm_medium=organic&utm_campaign=menu,Sun-Sat 10:00-21:00,more than 3 miles,no
,Hooters,American,sports bar,no,moderate,average,"720 Central Expy, Plano, TX 75074",(972) 422-9464,https://order.hooters.com/menu/plano?utm_medium=organic&utm_source=google&utm_campaign=gmb-dfw-north&utm_content=plano&utm_term=menu-cta,"Sun 11:00-23:00, Mon-Thu 11:00-0:00, Fri-Sat 11:00-1:00",more than 3 miles,no
,Chocolate Angel Cafe & Tea Room,coffee,shop,yes,moderate,high,"800 Central Expy, Plano, TX 75074",(972) 904-9597,http://www.chocolateangel.com/,Tue-Sat 11:00-16:00,more than 3 miles,yes
,Simon's Sushi,sushi,restaurant,yes,moderate,high,"810 N Central Expy UNIT 110, Plano, TX 75074",(972) 881-0818,https://m.facebook.com/pages/category/Sushi-Restaurant/Simons-Sushi-91793981244/,"Sun 17:30-21:00, Mon-Thu 11:30-14:00&17:30-21:00, Fri 11:30-14:00&17:30-21:30, Sat 17:30-21:30",more than 3 miles,yes
,Valerie's Taco Shop,taco,shop,no,cheap,average,"1130 N Central Expy, Plano, TX 75074",(469) 366-9099,no,"Sun 10:00-20:00, Mon-Fri 7:00-22:00, Sat 8:30-22:00",more than 3 miles,no
,Chipotle Mexican Restaurant,Mexican,restaurant,no,cheap,average,"1009 N Central Expy, Plano, TX 75075",(972) 423-5115,https://www.chipotle.com/menu,Sun-Sat 10:45-22:00,more than 3 miles,no
,Tokyo Harbor,Japanese,restaurant,yes,moderate,high,"1025 N Central Expy #100, Plano, TX 75075",(469) 573-8688,https://www.mealage.com/m.jsp?id=7207,"Sun 12:00-22:00, Tue-Thu 11:00-15:00&16:30-22:00, Fri 11:00-15:00&16:30-23:30, Sat 12:00-23:00",more than 3 miles,yes
,BJ's Restaurant & Brewhouse,American,restaurant,yes,moderate,average,"1101 N Central Expy, Plano, TX 75075",(972) 424-4262,https://www.bjsrestaurants.com/menu,"Sun-Thu 11:00-23:00, Fri-Sat 11:00-0:00",more than 3 miles,yes
,Einstein Bros. Bagels,bagel,shop,yes,cheap,low,"1201 Central Expy Ste 1, Plano, TX 75075",(972) 881-2166,http://www.einsteinbros.com/menu/bagels-and-shmear,Sun-Sat 5:00-14:00,more than 3 miles,no
,la Madeleine,French,restaurant,yes,moderate,average,"520 W 15th St, Plano, TX 75075",(972) 398-3002,https://lamadeleine.com/locations/plano-collin-creek,Sun-Sat 7:00-21:00,more than 3 miles,yes
,Raising Cane's Chicken Fingers,chicken,fast food,yes,cheap,high,"1000 W 15th St, Plano, TX 75075",(972) 422-7084,http://places.singleplatform.com/raising-canes-chicken-fingers-26/menu?ref=google,"Sun-Thu 10:00-0:00, Fri-Sat 9:00-1:00",more than 3 miles,no
,Boston Market,American,restaurant,yes,cheap,low,"701 W 15th St, Plano, TX 75075",(972) 578-7997,https://www.bostonmarket.com/menu/,Sun-Sat 10:30-22:00,more than 3 miles,no
,Potbelly,sandwich,shop,yes,cheap,high,"601 W 15th St, Plano, TX 75075",(469) 241-9056,https://www.potbelly.com/locations/texas/collin-creek,Sun-Sat 10:00-22:00,more than 3 miles,no
,Norma's Caf??,American,restaurant,yes,moderate,high,"605 W 15th St, Plano, TX 75075",(214) 440-2748,http://www.normascafe.com/menu,Sun-Sat 7:00-20:00,more than 3 miles,yes
,Sticky Rice - Richardson,Laotian,restaurant,yes,cheap,high,"120 W CityLine Dr #500, Richardson, TX 75082",(972) 803-5962,https://stickyricetx.com/cityline,"Sun 12:00-21:00, Mon-Fri 11:00-15:00, 17:00-22:00, Sat 12:00-22:00",more than 3 miles,no
,Good Union Urban BBQ,barbecue,restaurant,yes,moderate,high,"1150 State St #150, Richardson, TX 75082",(469) 913-4890,https://www.goodunionbbq.com/menu,"Sun 11:00-20:00, Mon-Thu 7:00-21:00, Fri 7:00-22:00, Sat 11:00-22:00",more than 3 miles,yes
,Fernando's Mexican Cuisine,Mexican,restaurant,yes,moderate,high,"1250 State St #100, Richardson, TX 75082",(972) 234-1730,http://fernandostexmex.com/wp-content/uploads/2018/02/FernandosCityLineMenu.pdf,"Sun 10:00-21:00, Mon-Wed 11:00-21:00, Thu-Fri 11:00-21:30, Sat 10:00-21:30",more than 3 miles,yes
,Oni Ramen,ramen,restaurant,no,moderate,average,"1250 State Street St, 900, Richardson, TX 75082",(214) 613-6590,http://www.oniramen.com/,"Sun-Wed 11:00-22:00, Thu-Sat 11:00-23:00",more than 3 miles,no
,Jasper's Richardson,American,restaurant,yes,expensive,high,"1251 State St #950, Richardson, TX 75082",(214) 716-2610,http://www.jaspersrichardson.com/menu-1?y_source=1_MjY0ODYwODktNzE1LWxvY2F0aW9uLm1lbnVfdXJs,"Sun 11:00-15:00, Tue-Sat 16:00-21:00",more than 3 miles,yes
,Chick-fil-A,chicken,fast food,yes,cheap,high,"1400 E Renner Rd, Richardson, TX 75082",(972) 665-7064,https://www.chick-fil-a.com/locations/tx/cityline/menu?utm_source=yext&utm_medium=link,Mon-Sat 6:00-22:00,more than 3 miles,no
,Piada Italian Street Food,Italian,restaurant,no,cheap,high,"1551 E Renner Rd #800, Richardson, TX 75082",(972) 807-9087,https://mypiada.com/menu/richardson,Sun-Sat 10:45-22:00,more than 3 miles,no
,Tiff's Treats Cookie Delivery,cookie,shop,no,cheap,high,"1417 E Renner Rd Bldg C, Suite 340, Richardson, TX 75082",(972) 850-5900,https://www.cookiedelivery.com/Menu.aspx,"Mon-Fri 9:00-22:00, Sat-Sun 10:00-22:00",more than 3 miles,no
,Luna Grill Richardson,Mediterranean,restaurant,yes,moderate,average,"1419 E Renner Rd Suite 510, Richardson, TX 75082",(469) 677-6812,https://lunagrill.com/menu/?y_source=1_MTQ0NDgwNzMtNzE1LWxvY2F0aW9uLm1lbnVfdXJs,Sun-Sat 11:00-21:00,more than 3 miles,no
,Smashburger,hamburger,restaurant,yes,moderate,low,"1425 E Renner Rd, Richardson, TX 75082",(214) 646-1297,https://order.smashburger.com/menu/1501-renner-plano,"Sun-Thu 10:30-21:30, Fri-Sat 10:30-22:00",more than 3 miles,no
,Pho Is For Lovers,Vietnamese,restaurant,yes,moderate,high,"1551 E Renner Rd #820, Richardson, TX 75082",(469) 620-3910,http://www.phoisforlovers.net/downloads/PIFL-menu-cityline.pdf,Sun-Sat 11:00-20:00,more than 3 miles,yes
,Bruncheon,brunch,restaurant,yes,cheap,average,"1551 E Renner Rd #830, Richardson, TX 75082",(469) 399-0846,https://www.bruncheonbreakfast.com/,"Mon-Fri 7:00-15:00, Sat-Sun 7:00-16:00",more than 3 miles,yes
,Starbucks,coffee,shop,no,cheap,high,"1405 E Renner Rd, Richardson, TX 75082",(469) 992-4929,http://places.singleplatform.com/starbucks-11782/menu?ref=google,"Mon-Fri 5:00-21:00, Sat-Sun 5:30-21:00",more than 3 miles,no
,Texas,steak,restaurant,no,expensive,high,"3609 Shire Blvd, Richardson, TX 75082",(972) 664-9975,https://www.thesonoftexas.com/menu,"Mon-Thu 16:00-21:00, Fri-Sat 16:00-22:00",more than 3 miles,yes
,Sweetwaters Coffee & Tea,coffee,shop,no,cheap,high,"3613 Shire Blvd #110, Richardson, TX 75082",(469) 250-7975,https://www.sweetwaterscafe.com/menu/coffee/,"Sun 7:30-19:00, Mon-Thu 6:30-20:00, Fri 6:30-21:00, Sat 7:30-21:00",more than 3 miles,no
,Liberty Burger Richardson,hamburger,restaurant,yes,moderate,high,"3617 Shire Blvd, Richardson, TX 75082",(469) 863-7111,https://www.givemelibertyburger.com/grubs-suds,Sun-Sat 11:00-21:00,more than 3 miles,no
,Silver Fox,steak,restaurant,yes,expensive,high,"3650 Shire Blvd, Richardson, TX 75082",(972) 423-8121,http://places.singleplatform.com/silver-fox-steakhouse-richardson/menu?ref=google,Mon-Sat 17:00-22:00,more than 3 miles,yes
,Jersey Mike's Subs,sandwich,shop,no,cheap,average,"2040 E President George Bush Hwy Suite130, Richardson, TX 75082",(972) 423-0031,https://www.jerseymikes.com/menu,Sun-Sat 10:00-21:00,more than 3 miles,no
,Gillespie's Tavern at the Shire,Irish,pub,yes,moderate,high,"3600 Shire Blvd #112, Richardson, TX 75082",(469) 367-4651,https://gillespiestavern.com/richardson-gillespie-s-tavern-at-the-shire-food-menu,"Sun 10:30-15:00, Mon-Wed 11:00-23:00, Thu-Fri 11:00-2:00, Sat 16:00-2:00",more than 3 miles,yes
